line_id,odd_fraction
0,0.16666666666666666
1,0.3333333333333333
2,0.3333333333333333
3,0.6666666666666666
4,0.3333333333333333
5,0.0
6,0.6666666666666666
7,0.6666666666666666
8,0.5
9,0.16666666666666666
10,0.0
11,0.3333333333333333
12,0.16666666666666666
13,0.5
14,0.3333333333333333
15,0.3333333333333333
16,0.6666666666666666
17,0.6666666666666666
18,0.16666666666666666
19,0.3333333333333333
20,0.3333333333333333
21,0.6666666666666666
22,0.6666666666666666
23,0.6666666666666666
24,0.16666666666666666
25,0.16666666666666666
26,0.6666666666666666
27,0.16666666666666666
28,0.16666666666666666
29,0.16666666666666666
30,0.3333333333333333
31,0.16666666666666666
32,0.3333333333333333
33,0.16666666666666666
34,0.16666666666666666
35,0.6666666666666666
36,0.3333333333333333
37,0.16666666666666666
38,0.16666666666666666
39,0.3333333333333333
