center_quad,outer_quad,from_excluded,to_excluded,shared_pair,comm_k4_mod12
3 23 25 30,11 18 22 38,38,22,11 18,6
9 16 30 32,11 19 26 33,11,19,26 33,6
9 16 30 32,11 19 26 33,11,26,19 33,6
9 16 30 32,11 19 26 33,11,33,19 26,6
9 16 30 32,11 19 26 33,19,11,26 33,6
9 16 30 32,11 19 26 33,19,26,11 33,6
9 16 30 32,11 19 26 33,19,33,11 26,6
9 16 30 32,11 19 26 33,26,11,19 33,6
9 16 30 32,11 19 26 33,26,19,11 33,6
9 16 30 32,11 19 26 33,26,33,11 19,6
9 16 30 32,11 19 26 33,33,11,19 26,6
9 16 30 32,11 19 26 33,33,19,11 26,6
9 16 30 32,11 19 26 33,33,26,11 19,6
3 32 34 39,11 20 27 31,11,20,27 31,6
3 32 34 39,11 20 27 31,11,27,20 31,6
3 32 34 39,11 20 27 31,11,31,20 27,6
3 32 34 39,11 20 27 31,20,11,27 31,6
3 32 34 39,11 20 27 31,20,27,11 31,6
3 32 34 39,11 20 27 31,20,31,11 27,6
3 32 34 39,11 20 27 31,27,11,20 31,6
3 32 34 39,11 20 27 31,27,20,11 31,6
3 32 34 39,11 20 27 31,27,31,11 20,6
3 32 34 39,11 20 27 31,31,11,20 27,6
3 32 34 39,11 20 27 31,31,20,11 27,6
3 32 34 39,11 20 27 31,31,27,11 20,6
2 14 18 19,12 13 30 35,12,13,30 35,6
2 14 18 19,12 13 30 35,12,30,13 35,6
2 14 18 19,12 13 30 35,12,35,13 30,6
2 14 18 19,12 13 30 35,13,12,30 35,6
2 14 18 19,12 13 30 35,13,30,12 35,6
2 14 18 19,12 13 30 35,13,35,12 30,6
2 14 18 19,12 13 30 35,30,12,13 35,6
2 14 18 19,12 13 30 35,30,13,12 35,6
2 14 18 19,12 13 30 35,30,35,12 13,6
2 14 18 19,12 13 30 35,35,12,13 30,6
2 14 18 19,12 13 30 35,35,13,12 30,6
2 14 18 19,12 13 30 35,35,30,12 13,6
8 14 27 37,12 15 29 34,12,15,29 34,6
8 14 27 37,12 15 29 34,12,29,15 34,6
8 14 27 37,12 15 29 34,12,34,15 29,6
8 14 27 37,12 15 29 34,15,12,29 34,6
8 14 27 37,12 15 29 34,15,29,12 34,6
8 14 27 37,12 15 29 34,15,34,12 29,6
8 14 27 37,12 15 29 34,29,12,15 34,6
8 14 27 37,12 15 29 34,29,15,12 34,6
8 14 27 37,12 15 29 34,29,34,12 15,6
8 14 27 37,12 15 29 34,34,12,15 29,6
8 14 27 37,12 15 29 34,34,15,12 29,6
8 14 27 37,12 15 29 34,34,29,12 15,6
8 19 23 36,12 16 24 38,12,16,24 38,6
8 19 23 36,12 16 24 38,12,24,16 38,6
8 19 23 36,12 16 24 38,12,38,16 24,6
8 19 23 36,12 16 24 38,16,12,24 38,6
8 19 23 36,12 16 24 38,16,24,12 38,6
8 19 23 36,12 16 24 38,16,38,12 24,6
8 19 23 36,12 16 24 38,24,12,16 38,6
8 19 23 36,12 16 24 38,24,16,12 38,6
8 19 23 36,12 16 24 38,24,38,12 16,6
8 19 23 36,12 16 24 38,38,12,16 24,6
8 19 23 36,12 16 24 38,38,16,12 24,6
8 19 23 36,12 16 24 38,38,24,12 16,6
2 23 27 28,12 17 22 39,12,17,22 39,6
2 23 27 28,12 17 22 39,12,22,17 39,6
2 23 27 28,12 17 22 39,12,39,17 22,6
2 23 27 28,12 17 22 39,17,12,22 39,6
2 23 27 28,12 17 22 39,17,22,12 39,6
2 23 27 28,12 17 22 39,17,39,12 22,6
2 23 27 28,12 17 22 39,22,12,17 39,6
2 23 27 28,12 17 22 39,22,17,12 39,6
2 23 27 28,12 17 22 39,22,39,12 17,6
2 23 27 28,12 17 22 39,39,12,17 22,6
2 23 27 28,12 17 22 39,39,17,12 22,6
2 23 27 28,12 17 22 39,39,22,12 17,6
8 18 28 32,12 20 25 33,12,20,25 33,6
8 18 28 32,12 20 25 33,12,25,20 33,6
8 18 28 32,12 20 25 33,12,33,20 25,6
8 18 28 32,12 20 25 33,20,12,25 33,6
8 18 28 32,12 20 25 33,20,25,12 33,6
8 18 28 32,12 20 25 33,20,33,12 25,6
8 18 28 32,12 20 25 33,25,12,20 33,6
8 18 28 32,12 20 25 33,25,20,12 33,6
8 18 28 32,12 20 25 33,25,33,12 20,6
8 18 28 32,12 20 25 33,33,12,20 25,6
8 18 28 32,12 20 25 33,33,20,12 25,6
8 18 28 32,12 20 25 33,33,25,12 20,6
2 32 36 37,12 21 26 31,12,21,26 31,6
2 32 36 37,12 21 26 31,12,26,21 31,6
2 32 36 37,12 21 26 31,12,31,21 26,6
2 32 36 37,12 21 26 31,21,12,26 31,6
2 32 36 37,12 21 26 31,21,26,12 31,6
2 32 36 37,12 21 26 31,21,31,12 26,6
2 32 36 37,12 21 26 31,26,12,21 31,6
2 32 36 37,12 21 26 31,26,21,12 31,6
2 32 36 37,12 21 26 31,26,31,12 21,6
2 32 36 37,12 21 26 31,31,12,21 26,6
2 32 36 37,12 21 26 31,31,21,12 26,6
2 32 36 37,12 21 26 31,31,26,12 21,6
